     St.no       Date         RR         SA         SD SLAG     
     50540 22.05.1983        4.2          0          0    3                     
     50540 23.05.1983       30.4          0          0    3                      
     50540 24.05.1983        2.0          0          0    3                     
     50540 25.05.1983          .          0          0    -                   
     50540 26.05.1983        1.5          0          0    3                     
     50540 27.05.1983        6.8          0          0    3                     
     50540 28.05.1983        3.4          0          0    3                     
     50540 29.05.1983        1.3          0          0    3                     
     50540 30.05.1983        9.6          0          0    3                     
     50540 31.05.1983       14.8          0          0    3                      
     50540 01.06.1983        6.8          0          0    3                     
     50540 02.06.1983        0.2          0          0    3                     
     50540 03.06.1983       17.5          0          0    3                      
     50540 04.06.1983        0.2          0          0    3                     
     50540 05.06.1983          .          0          0    -                   
     50540 06.06.1983          .          0          0    -                   
     50540 07.06.1983          .          0          0    -                   
     50540 08.06.1983        0.0          0          0    3                     
     50540 09.06.1983        4.6          0          0    3                     
     50540 10.06.1983        9.0          0          0    3                     
     50540 11.06.1983        0.3          0          0    3                     
     50540 12.06.1983       29.3          0          0    3                      
     50540 13.06.1983          .          0          0    -                   
     50540 14.06.1983          .          0          0    -                   
     50540 15.06.1983        1.5          0          0    3                     
     50540 16.06.1983        3.3          0          0    3                     
     50540 17.06.1983          .          0          0    -                   
     50540 18.06.1983          .          0          0    -                   
     50540 19.06.1983        2.6          0          0    3                     
     50540 20.06.1983        0.0          0          0    3                     
     50540 21.06.1983          .          0          0    -                   
     50540 22.06.1983          .          0          0    -                   
     50540 23.06.1983        0.5          0          0    3                     
     50540 24.06.1983        0.0          0          0    3                     
     50540 25.06.1983          .          0          0    -                   
     50540 26.06.1983        3.4          0          0    3                     
     50540 27.06.1983       12.8          0          0    3                      
     50540 28.06.1983        6.5          0          0    3                     
     50540 29.06.1983          .          0          0    -                   
     50540 30.06.1983        0.6          0          0    3                     
     50540 01.07.1983        4.5          0          0    3                     
     50540 02.07.1983          .          0          0    -                   
     50540 03.07.1983       16.5          0          0    3                      
     50540 04.07.1983       10.7          0          0    3                      
     50540 05.07.1983       18.6          0          0    3                      
     50540 06.07.1983          .          0          0    -                   
     50540 07.07.1983          .          0          0    -                   
     50540 08.07.1983          .          0          0    -                   
     50540 09.07.1983          .          0          0    -                   
     50540 10.07.1983          .          0          0    -                   
     50540 11.07.1983          .          0          0    -                   
     50540 12.07.1983          .          0          0    -                   
     50540 13.07.1983          .          0          0    -                   
     50540 14.07.1983          .          0          0    -                   
     50540 15.07.1983        5.5          0          0    3                     
     50540 16.07.1983       17.6          0          0    3                      
     50540 17.07.1983        0.4          0          0    3                     
     50540 18.07.1983        9.5          0          0    3                     
     50540 19.07.1983       18.4          0          0    3                      
     50540 20.07.1983        1.9          0          0    3                     
     50540 21.07.1983        0.8          0          0    3                     
     50540 22.07.1983        5.8          0          0    3                     
     50540 23.07.1983        0.1          0          0    3                     
     50540 24.07.1983          .          0          0    -                   
     50540 25.07.1983          .          0          0    -                   
     50540 26.07.1983          .          0          0    -                   
     50540 27.07.1983          .          0          0    -                   
     50540 28.07.1983        8.3          0          0    3                     
     50540 29.07.1983        5.4          0          0    3                     
     50540 30.07.1983       17.1          0          0    3                      
     50540 31.07.1983        3.2          0          0    3                     
     50540 01.08.1983       10.1          0          0    3                      
     50540 02.08.1983       13.8          0          0    3                      
     50540 03.08.1983        5.7          0          0    3                     
     50540 04.08.1983       25.7          0          0    3                      
     50540 05.08.1983        2.3          0          0    3                     
     50540 06.08.1983        0.1          0          0    3                     
     50540 07.08.1983          .          0          0    -                   
     50540 08.08.1983          .          0          0    -                   
     50540 09.08.1983          .          0          0    -                   
     50540 10.08.1983          .          0          0    -                   
     50540 11.08.1983        1.0          0          0    3                     
     50540 12.08.1983       14.4          0          0    3                      
     50540 13.08.1983        2.7          0          0    3                     
     50540 14.08.1983          .          0          0    -                   
     50540 15.08.1983        3.7          0          0    3                     
     50540 16.08.1983       45.4          0          0    3                      
     50540 17.08.1983       11.7          0          0    3                      
     50540 18.08.1983        0.0          0          0    3                     
     50540 19.08.1983       12.6          0          0    3                      
     50540 20.08.1983        0.1          0          0    3                     
     50540 21.08.1983          .          0          0    -                   
     50540 22.08.1983        1.5          0          0    3                     
     50540 23.08.1983        7.0          0          0    3                     
     50540 24.08.1983          .          0          0    -                   
     50540 25.08.1983          .          0          0    -                   
     50540 26.08.1983          .          0          0    -                   
     50540 27.08.1983        0.0          0          0    3                     
     50540 28.08.1983        2.9          0          0    3                     
     50540 29.08.1983          .          0          0    -                   
     50540 30.08.1983        3.4          0          0    3                     
     50540 31.08.1983       27.9          0          0    3                      
     50540 01.09.1983        0.3          0          0    3                     
     50540 02.09.1983        0.1          0          0    3                     
     50540 03.09.1983       13.2          0          0    3                      
     50540 04.09.1983        2.0          0          0    3                     
     50540 05.09.1983       22.7          0          0    3                      
     50540 06.09.1983       14.3          0          0    3                      
     50540 07.09.1983        2.5          0          0    3                     
     50540 08.09.1983        0.1          0          0    3                     
     50540 09.09.1983          .          0          0    -                   
     50540 10.09.1983        3.0          0          0    3                     
     50540 11.09.1983        3.4          0          0    3                     
     50540 12.09.1983        2.1          0          0    3                     
     50540 13.09.1983        0.0          0          0    3                     
     50540 14.09.1983        0.1          0          0    3                     
     50540 15.09.1983        1.2          0          0    3                     
     50540 16.09.1983        3.6          0          0    3                     
     50540 17.09.1983        1.2          0          0    3                     
     50540 18.09.1983        0.4          0          0    3                     
     50540 19.09.1983       19.2          0          0    3                      
     50540 20.09.1983       27.0          0          0    3                      
     50540 21.09.1983       18.8          0          0    3                      
     50540 22.09.1983        7.6          0          0    3                     
     50540 23.09.1983       10.7          0          0    3                      
     50540 24.09.1983       40.2          0          0    3                      
     50540 25.09.1983        0.6          0          0    3                     
     50540 26.09.1983       11.0          0          0    3                      
     50540 27.09.1983       64.8          0          0    3                      
     50540 28.09.1983        8.5          0          0    3                     
