     St.no       Date         RR         SA         SD SLAG     
     50540 02.12.1988        0.3          0          1    2                     
     50540 03.12.1988          .          0          1    -                   
     50540 04.12.1988        0.4          0          3    2                     
     50540 05.12.1988        2.2          0          0   30                      
     50540 06.12.1988        0.4          0          0   30                      
     50540 07.12.1988          .          0          0    -                   
     50540 08.12.1988       28.9          0          0    3                      
     50540 09.12.1988       21.5          0          0    3                      
     50540 10.12.1988        1.5          0          0   30                      
     50540 11.12.1988       13.8          0          0    3                      
     50540 12.12.1988       19.2          0          0    3                      
     50540 13.12.1988        8.3          0          0    3                     
     50540 14.12.1988        6.5          0          0   30                      
     50540 15.12.1988        2.5          0          0   30                      
     50540 16.12.1988        3.2          0          0    3                     
     50540 17.12.1988       16.9          0          0    3                      
     50540 18.12.1988        3.1          0          3   30                      
     50540 19.12.1988       36.8          0          0   30                       
     50540 20.12.1988          .          0          0    -                   
     50540 21.12.1988       12.7          0          0   30                       
     50540 22.12.1988       20.2          0          0    3                      
     50540 23.12.1988        7.6          0          0    3                     
     50540 24.12.1988       12.0          0          0   30                       
     50540 25.12.1988        5.5          0          0   30                      
     50540 26.12.1988       11.9          0          0   30                       
     50540 27.12.1988       39.9          0          0    3                      
     50540 28.12.1988        7.9          0          0    3                     
     50540 29.12.1988       20.6          0          0    3                      
     50540 30.12.1988        2.1          0          0    3                     
     50540 31.12.1988       10.0          0          0    3                      
     50540 01.01.1989        2.3          0          0    3                     
     50540 02.01.1989        1.9          0          0    3                     
     50540 03.01.1989        3.0          0          0    3                     
     50540 04.01.1989        0.2          0          0    3                     
     50540 05.01.1989       14.2          0          0    3                      
     50540 06.01.1989        4.9          0          0    3                     
     50540 07.01.1989        6.2          0          0    3                     
     50540 08.01.1989        5.0          0          0   30                      
     50540 09.01.1989       14.6          0          0    3                      
     50540 10.01.1989       13.2          0          0    3                      
     50540 11.01.1989       13.6          0          1   30                       
     50540 12.01.1989       55.8          0          0    3                      
     50540 13.01.1989       18.5          0          0    3                      
     50540 14.01.1989       14.9          0          0    3                      
     50540 15.01.1989       17.1          0          0    3                      
     50540 16.01.1989       11.9          0          0    3                      
     50540 17.01.1989       16.3          0          0    3                      
     50540 18.01.1989        9.1          0          0    3                     
     50540 19.01.1989       47.1          0          0    3                      
     50540 20.01.1989        3.9          0          0    3                     
     50540 21.01.1989       41.1          0          0    3                      
     50540 22.01.1989        9.0          0          0    3                     
     50540 23.01.1989       12.0          0          0   30                       
     50540 24.01.1989       14.9          0          0    3                      
     50540 25.01.1989        5.9          0          0    3                     
     50540 26.01.1989        6.4          0          0    3                     
     50540 27.01.1989        8.8          0          0    3                     
     50540 28.01.1989       65.2          0          0    3                      
     50540 29.01.1989       15.9          0          0    3                      
     50540 30.01.1989       16.7          0          0    3                      
     50540 31.01.1989        8.8          0          0    3                     
     50540 01.02.1989        1.0          0          0    3                     
     50540 02.02.1989        8.7          0          0    3                     
     50540 03.02.1989       20.7          0          0    3                      
     50540 04.02.1989       10.4          0          0    3                      
     50540 05.02.1989        8.5          0          0    3                     
     50540 06.02.1989       23.1          0          0   30                       
     50540 07.02.1989       19.7          0          0    3                      
     50540 08.02.1989       11.1          0          0    3                      
     50540 09.02.1989        2.3          0          0    3                     
     50540 10.02.1989          .          0          0    -                   
     50540 11.02.1989        6.8          0          0    3                     
     50540 12.02.1989       27.0          0          0    3                      
     50540 13.02.1989        8.2          0          0   30                      
     50540 14.02.1989       21.9          0          0   30                       
     50540 15.02.1989       27.8          0          0   30                       
     50540 16.02.1989       10.5          5          4   30                       
     50540 17.02.1989       10.8         13          4    2                       
     50540 18.02.1989        0.1         10          4    2                      
     50540 19.02.1989       16.3          0          0    3                      
     50540 20.02.1989       18.3          0          4   30                       
     50540 21.02.1989        4.6          0          0    3                     
     50540 22.02.1989        9.7          0          0   30                      
     50540 23.02.1989        8.4          0          0   30                      
     50540 24.02.1989       12.7          1          4   30                       
     50540 25.02.1989        0.1          0          0   30                      
     50540 26.02.1989        0.0          0          0   30                      
     50540 27.02.1989        1.2          0          0    3                     
     50540 28.02.1989        9.4          0          0   30                      
     50540 01.03.1989        0.0          0          0    3                     
     50540 02.03.1989        1.2          0          0    3                     
     50540 03.03.1989        4.0          0          0    3                     
     50540 04.03.1989        0.0          0          0    3                     
     50540 05.03.1989        6.2          0          0    3                     
     50540 06.03.1989        0.0          0          0    3                     
     50540 07.03.1989       12.9          0          0    3                      
     50540 08.03.1989       12.1          0          0    3                      
     50540 09.03.1989          .          0          0    -                   
     50540 10.03.1989       37.5          0          0    3                      
     50540 11.03.1989        2.3          0          0    3                     
     50540 12.03.1989        1.9          0          0    3                     
     50540 13.03.1989        0.1          0          0    3                     
     50540 14.03.1989       24.6          0          0   30                       
     50540 15.03.1989        7.0          0          0   30                      
     50540 16.03.1989       15.8          2          4   30                       
     50540 17.03.1989        7.3          2          4   30                      
     50540 18.03.1989        6.6          9          4    2                     
     50540 19.03.1989       20.9          0          1   30                       
     50540 20.03.1989       18.4          0          0    3                      
     50540 21.03.1989       12.0          0          1   30                       
     50540 22.03.1989       10.6          0          0   30                       
     50540 23.03.1989        9.8          0          0   30                      
     50540 24.03.1989        9.3          1          4   30                      
     50540 25.03.1989       19.7          0          0   30                       
     50540 26.03.1989        0.3          0          0   30                      
     50540 27.03.1989       11.3          0          0    3                      
     50540 28.03.1989        0.2          0          0    3                     
     50540 29.03.1989       41.1          0          0   30                       
     50540 30.03.1989       10.2          0          0    3                      
     50540 31.03.1989       24.7          0          0    3                      
     50540 01.04.1989        4.6          0          0    3                     
     50540 02.04.1989        1.5          0          0    3                     
     50540 03.04.1989          .          0          0    -                   
     50540 04.04.1989          .          0          0    -                   
     50540 05.04.1989          .          0          0    -                   
     50540 06.04.1989          .          0          0    -                   
     50540 07.04.1989        0.1          0          0    3                     
     50540 08.04.1989        0.1          0          0    3                     
     50540 09.04.1989        2.6          0          0    3                     
     50540 10.04.1989        2.6          0          0    3                     
     50540 11.04.1989        8.0          0          0    3                     
     50540 12.04.1989        5.2          0          0    3                     
     50540 13.04.1989        0.0          0          0    3                     
     50540 14.04.1989        0.6          0          0    3                     
     50540 15.04.1989          .          0          0    -                   
     50540 16.04.1989        2.9          0          0    3                     
     50540 17.04.1989        9.4          0          0    3                     
     50540 18.04.1989        8.9          0          0    3                     
     50540 19.04.1989        0.0          0          0    3                     
     50540 20.04.1989        0.0          0          0    3                     
     50540 21.04.1989          .          0          0    -                   
     50540 22.04.1989          .          0          0    -                   
     50540 23.04.1989        0.6          1          4   30                      
     50540 24.04.1989        7.3          0          3   30                      
     50540 25.04.1989        0.6          0          0   30                      
     50540 26.04.1989        5.0          0          4    2                     
     50540 27.04.1989        1.1          0          0   30                      
     50540 28.04.1989        0.0          0          0    3                     
     50540 29.04.1989        0.0          0          0   30                      
     50540 30.04.1989          .          0          0    -                   
     50540 01.05.1989        0.6          0          0    3                     
     50540 02.05.1989       20.9          0          0    3                      
     50540 03.05.1989        2.3          0          0    3                     
     50540 04.05.1989        4.0          0          0    3                     
     50540 05.05.1989        2.5          0          0    3                     
     50540 06.05.1989        6.8          0          0    3                     
     50540 07.05.1989        6.1          0          0    3                     
     50540 08.05.1989       26.8          0          0    3                      
     50540 09.05.1989       13.8          0          0    3                      
     50540 10.05.1989       17.5          0          0    3                      
     50540 11.05.1989        4.6          0          0    3                     
     50540 12.05.1989        1.2          0          0   30                      
     50540 13.05.1989        0.6          0          0    3                     
     50540 14.05.1989        0.4          0          0    3                     
     50540 15.05.1989        0.0          0          0    3                     
     50540 16.05.1989        7.1          0          0    3                     
     50540 17.05.1989        8.3          0          0    3                     
     50540 18.05.1989        3.5          0          0    3                     
     50540 19.05.1989       22.3          0          0    3                      
     50540 20.05.1989          .          0          0    -                   
     50540 21.05.1989          .          0          0    -                   
     50540 22.05.1989          .          0          0    -                   
     50540 23.05.1989          .          0          0    -                   
     50540 24.05.1989          .          0          0    -                   
     50540 25.05.1989       10.6          0          0    3                      
     50540 26.05.1989        3.2          0          0    3                     
     50540 27.05.1989        4.5          0          0    3                     
     50540 28.05.1989        8.2          0          0    3                     
     50540 29.05.1989       20.8          0          0    3                      
     50540 30.05.1989        1.5          0          0    3                     
     50540 31.05.1989        0.1          0          0    3                     
     50540 01.06.1989        0.0          0          0    3                     
     50540 02.06.1989        0.1          0          0    3                     
     50540 03.06.1989        0.8          0          0    3                     
     50540 04.06.1989        1.2          0          0    3                     
     50540 05.06.1989          .          0          0    -                   
     50540 06.06.1989        0.0          0          0    3                     
     50540 07.06.1989        3.5          0          0    3                     
     50540 08.06.1989        6.8          0          0    3                     
     50540 09.06.1989       28.6          0          0    3                      
     50540 10.06.1989        2.5          0          0    3                     
     50540 11.06.1989          .          0          0    -                   
     50540 12.06.1989          .          0          0    -                   
     50540 13.06.1989          .          0          0    -                   
     50540 14.06.1989          .          0          0    -                   
     50540 15.06.1989          .          0          0    -                   
     50540 16.06.1989          .          0          0    -                   
     50540 17.06.1989          .          0          0    -                   
     50540 18.06.1989          .          0          0    -                   
     50540 19.06.1989          .          0          0    -                   
     50540 20.06.1989          .          0          0    -                   
     50540 21.06.1989          .          0          0    -                   
     50540 22.06.1989          .          0          0    -                   
     50540 23.06.1989        3.4          0          0    3                     
     50540 24.06.1989        3.7          0          0    3                     
     50540 25.06.1989        6.6          0          0    3                     
     50540 26.06.1989       55.6          0          0    3                      
     50540 27.06.1989       19.9          0          0    3                      
     50540 28.06.1989       10.5          0          0    3                      
     50540 29.06.1989       33.4          0          0    3                      
     50540 30.06.1989       23.6          0          0    3                      
     50540 01.07.1989        5.7          0          0    3                     
     50540 02.07.1989        0.0          0          0    3                     
     50540 03.07.1989          .          0          0    -                   
     50540 04.07.1989          .          0          0    -                   
     50540 05.07.1989        0.0          0          0    3                     
     50540 06.07.1989        0.0          0          0    3                     
     50540 07.07.1989          .          0          0    -                   
     50540 08.07.1989          .          0          0    -                   
     50540 09.07.1989          .          0          0    -                   
     50540 10.07.1989          .          0          0    -                   
     50540 11.07.1989        3.6          0          0    3                     
     50540 12.07.1989       17.9          0          0    3                      
     50540 13.07.1989       20.1          0          0    3                      
     50540 14.07.1989        8.7          0          0    3                     
     50540 15.07.1989        1.2          0          0    3                     
     50540 16.07.1989        0.4          0          0    3                     
     50540 17.07.1989        4.6          0          0    3                     
     50540 18.07.1989        6.9          0          0    3                     
     50540 19.07.1989          .          0          0    -                   
     50540 20.07.1989        2.9          0          0    3                     
     50540 21.07.1989          .          0          0    -                   
     50540 22.07.1989        0.0          0          0    3                     
     50540 23.07.1989        0.0          0          0    3                     
     50540 24.07.1989          .          0          0    -                   
     50540 25.07.1989          .          0          0    -                   
     50540 26.07.1989          .          0          0    -                   
     50540 27.07.1989       21.0          0          0    3                      
     50540 28.07.1989        7.2          0          0    3                     
     50540 29.07.1989       25.5          0          0    3                      
     50540 30.07.1989       26.5          0          0    3                      
     50540 31.07.1989        0.1          0          0    3                     
     50540 01.08.1989        1.5          0          0    3                     
     50540 02.08.1989        4.3          0          0    3                     
     50540 03.08.1989        0.0          0          0    3                     
     50540 04.08.1989       12.3          0          0    3                      
     50540 05.08.1989        2.4          0          0    3                     
     50540 06.08.1989        0.0          0          0    3                     
     50540 07.08.1989          .          0          0    -                   
     50540 08.08.1989        1.6          0          0    3                     
     50540 09.08.1989        9.2          0          0    3                     
     50540 10.08.1989        7.1          0          0    3                     
     50540 11.08.1989       25.2          0          0    3                      
     50540 12.08.1989       12.5          0          0    3                      
     50540 13.08.1989        0.7          0          0    3                     
     50540 14.08.1989       59.1          0          0    3                      
     50540 15.08.1989       14.7          0          0    3                      
     50540 16.08.1989       41.8          0          0    3                      
     50540 17.08.1989        3.8          0          0    3                     
     50540 18.08.1989        7.8          0          0    3                     
     50540 19.08.1989       24.4          0          0    3                      
     50540 20.08.1989        0.5          0          0    3                     
     50540 21.08.1989       71.8          0          0    3                      
     50540 22.08.1989        0.0          0          0    3                     
     50540 23.08.1989       14.8          0          0    3                      
     50540 24.08.1989       17.8          0          0    3                      
     50540 25.08.1989        6.1          0          0    3                     
     50540 26.08.1989        0.0          0          0    3                     
     50540 27.08.1989        0.1          0          0    3                     
     50540 28.08.1989        0.0          0          0    3                     
     50540 29.08.1989          .          0          0    -                   
     50540 30.08.1989          .          0          0    -                   
     50540 31.08.1989       12.2          0          0    3                      
     50540 01.09.1989        3.5          0          0    3                     
     50540 02.09.1989       22.8          0          0    3                      
     50540 03.09.1989        2.8          0          0    3                     
     50540 04.09.1989          .          0          0    -                   
     50540 05.09.1989        3.5          0          0    3                     
     50540 06.09.1989       52.9          0          0    3                      
     50540 07.09.1989        8.3          0          0    3                     
     50540 08.09.1989        2.7          0          0    3                     
     50540 09.09.1989        1.9          0          0    3                     
     50540 10.09.1989          .          0          0    -                   
     50540 11.09.1989          .          0          0    -                   
     50540 12.09.1989          .          0          0    -                   
     50540 13.09.1989          .          0          0    -                   
     50540 14.09.1989        6.3          0          0    3                     
     50540 15.09.1989       18.7          0          0    3                      
     50540 16.09.1989        3.2          0          0    3                     
     50540 17.09.1989        1.8          0          0    3                     
     50540 18.09.1989        3.7          0          0    3                     
     50540 19.09.1989        4.8          0          0    3                     
     50540 20.09.1989        3.9          0          0    3                     
     50540 21.09.1989       49.3          0          0    3                      
     50540 22.09.1989        4.7          0          0    3                     
     50540 23.09.1989       17.0          0          0    3                      
     50540 24.09.1989       11.8          0          0    3                      
     50540 25.09.1989        0.0          0          0    3                     
     50540 26.09.1989       28.9          0          0    3                      
     50540 27.09.1989        1.0          0          0    3                     
     50540 28.09.1989        4.3          0          0    3                     
     50540 29.09.1989        8.8          0          0    3                     
     50540 30.09.1989        1.9          0          0    3                     
     50540 01.10.1989        1.9          0          0    3                     
     50540 02.10.1989        8.4          0          0    3                     
     50540 03.10.1989        2.5          0          0    3                     
     50540 04.10.1989          .          0          0    -                   
     50540 05.10.1989          .          0          0    -                   
     50540 06.10.1989        0.2          0          0    3                     
     50540 07.10.1989        9.3          0          0    3                     
     50540 08.10.1989        0.0          0          0    3                     
     50540 09.10.1989       18.1          0          0    3                      
     50540 10.10.1989        0.0          0          0    3                     
     50540 11.10.1989       13.6          0          0    3                      
     50540 12.10.1989        1.6          0          0    3                     
     50540 13.10.1989       13.9          0          0    3                      
     50540 14.10.1989       19.2          0          0    3                      
     50540 15.10.1989        2.7          0          0    3                     
     50540 16.10.1989        1.2          0          0    3                     
     50540 17.10.1989        5.2          0          0    3                     
     50540 18.10.1989        0.1          0          0    3                     
     50540 19.10.1989        4.1          0          0    3                     
     50540 20.10.1989       13.2          0          0    3                      
     50540 21.10.1989       15.3          0          0    3                      
     50540 22.10.1989        5.8          0          0    3                     
     50540 23.10.1989        7.4          0          0    3                     
     50540 24.10.1989       12.8          0          0    3                      
     50540 25.10.1989       22.8          0          0    3                      
     50540 26.10.1989       13.9          0          0    3                      
     50540 27.10.1989        6.8          0          0    3                     
     50540 28.10.1989        5.1          0          0    3                     
     50540 29.10.1989        0.1          0          0    3                     
     50540 30.10.1989        0.0          0          0    3                     
     50540 31.10.1989          .          0          0    -                   
     50540 01.11.1989        9.3          0          0    3                     
     50540 02.11.1989       17.5          0          0    3                      
     50540 03.11.1989        0.2          0          0    3                     
     50540 04.11.1989       12.1          0          0    3                      
     50540 05.11.1989       11.6          0          0    3                      
     50540 06.11.1989        0.1          0          0    3                     
     50540 07.11.1989        0.0          0          0    3                     
     50540 08.11.1989        0.7          0          0    3                     
     50540 09.11.1989        4.0          0          0    3                     
     50540 10.11.1989        9.8          0          0    3                     
     50540 11.11.1989        8.8          0          0    3                     
     50540 12.11.1989        7.8          0          0    3                     
     50540 13.11.1989        3.6          0          0    3                     
     50540 14.11.1989       11.5          0          0    3                      
     50540 15.11.1989        8.0          0          0    3                     
     50540 16.11.1989          .          0          0    -                   
     50540 17.11.1989          .          0          0    -                   
     50540 18.11.1989          .          0          0    -                   
     50540 19.11.1989          .          0          0    -                   
     50540 20.11.1989        2.0          0          0    3                     
     50540 21.11.1989        0.2          0          0    3                     
     50540 22.11.1989        3.4          0          0   30                      
     50540 23.11.1989        1.9          0          1   30                      
     50540 24.11.1989        0.0          0          1   30                      
     50540 25.11.1989          .          0          1    -                   
     50540 26.11.1989       10.8          0          1   30                       
     50540 27.11.1989        1.4          0          1    3                     
     50540 28.11.1989        0.3          0          1    3                     
     50540 29.11.1989        4.0          0          0    3                     
     50540 30.11.1989        0.6          0          0    3                     
     50540 01.12.1989        0.0          0          0    3                     
     50540 02.12.1989          .          0          0    -                   
     50540 03.12.1989       14.4          0          0    3                      
     50540 04.12.1989       12.8          0          0    3                      
     50540 05.12.1989          .          0          0    -                   
     50540 06.12.1989        6.7          0          0    3                     
     50540 07.12.1989        2.0          0          0    3                     
     50540 08.12.1989        1.7          0          0    3                     
     50540 09.12.1989        1.1          0          0    3                     
     50540 10.12.1989        3.0          0          0    3                     
     50540 11.12.1989        4.1          0          0    3                     
     50540 12.12.1989        6.6          2          4   30                      
     50540 13.12.1989        4.5          7          4    2                     
     50540 14.12.1989          .          7          4    -                   
     50540 15.12.1989        0.5          9          4    2                     
     50540 16.12.1989       19.3         31          4    2                       
     50540 17.12.1989        1.1         28          4    2                      
     50540 18.12.1989        3.9         16          4   30                       
     50540 19.12.1989       18.0          5          1    3                      
     50540 20.12.1989        2.6          2          1   30                      
     50540 21.12.1989        2.3          0          0    3                     
     50540 22.12.1989        9.5          0          0    3                     
     50540 23.12.1989       15.7          0          0    3                      
     50540 24.12.1989        7.4          0          0    3                     
     50540 25.12.1989       23.5          0          0    3                      
     50540 26.12.1989        3.2          0          0    3                     
     50540 27.12.1989       30.5          0          0    3                      
     50540 28.12.1989        0.0          0          0    3                     
     50540 29.12.1989        0.3          0          0    3                     
     50540 30.12.1989          .          0          0    -                   
     50540 31.12.1989          .          0          0    -                
     50540 01.01.1990          .          0          0    -                   
     50540 02.01.1990          .          0          0    -                   
     50540 03.01.1990        0.0          0          0    3                     
     50540 04.01.1990        4.1          0          0    3                     
     50540 05.01.1990        0.1          0          0    3                     
     50540 06.01.1990        0.8          0          0   30                      
     50540 07.01.1990       23.3          0          0    3                      
     50540 08.01.1990       16.3          0          0    3                      
     50540 09.01.1990       12.2          0          0    3                      
     50540 10.01.1990        8.3          0          0   30                      
     50540 11.01.1990       15.6          0          0    3                      
     50540 12.01.1990        8.1          0          0    3                     
     50540 13.01.1990        1.3          0          0    3                     
     50540 14.01.1990        7.3          0          0    3                     
     50540 15.01.1990       27.9          0          0    3                      
     50540 16.01.1990       23.6          0          0    3                      
     50540 17.01.1990       11.2          0          0    3                      
     50540 18.01.1990       19.1          0          0    3                      
     50540 19.01.1990       10.0          0          0    3                      
     50540 20.01.1990       22.0          0          0    3                      
     50540 21.01.1990       27.7          0          0    3                      
     50540 22.01.1990       17.0          0          0    3                      
     50540 23.01.1990       25.3          0          0    3                      
     50540 24.01.1990       23.0          0          0   30                       
     50540 25.01.1990       27.2          4          4   30                       
     50540 26.01.1990        0.7          3          3   30                      
     50540 27.01.1990        9.0          2          3   30                      
     50540 28.01.1990       11.0          0          1   30                       
     50540 29.01.1990        0.8          0          0    3                     
     50540 30.01.1990       10.3          0          0    3                      
     50540 31.01.1990        4.0          0          0    3                     
     50540 01.02.1990       27.2          0          0    3                      
     50540 02.02.1990        6.3          0          0    3                     
     50540 03.02.1990       24.0          0          0    3                      
     50540 04.02.1990        9.5          0          0   30                      
     50540 05.02.1990       27.3          0          0    3                      
     50540 06.02.1990        1.7          0          0    3                     
     50540 07.02.1990       11.2          0          0    3                      
     50540 08.02.1990       18.7          0          0    3                      
     50540 09.02.1990        5.7          0          0    3                     
     50540 10.02.1990        8.2          0          0    3                     
     50540 11.02.1990        7.2          0          0    3                     
     50540 12.02.1990       16.3          0          0   30                       
     50540 13.02.1990        0.0          0          0    3                     
     50540 14.02.1990        0.2          0          0   30                      
     50540 15.02.1990        2.3          0          0   30                      
     50540 16.02.1990        9.0          0          1   30                      
     50540 17.02.1990        4.2          0          1   30                      
     50540 18.02.1990       21.3          0          0   30                       
     50540 19.02.1990        6.9          0          0    3                     
     50540 20.02.1990        6.9          0          0    3                     
     50540 21.02.1990        4.9          0          0    3                     
     50540 22.02.1990        4.9          0          0    3                     
     50540 23.02.1990       25.6          0          0    3                      
     50540 24.02.1990       16.9          0          0    3                      
     50540 25.02.1990       25.7          0          0    3                      
     50540 26.02.1990        7.4          0          0    3                     
     50540 27.02.1990       18.1          0          1   30                       
     50540 28.02.1990        4.5          0          0   30                      
     50540 01.03.1990        1.5          0          1   30                      
     50540 02.03.1990        4.9          6          4    2                     
     50540 03.03.1990        0.3          4          4    2                     
     50540 04.03.1990       46.4          0          0   30                       
     50540 05.03.1990       13.3          0          0    3                      
     50540 06.03.1990       15.1          2          4   30                       
     50540 07.03.1990        1.0          2          4   30                      
     50540 08.03.1990       13.9          0          0   30                       
     50540 09.03.1990       12.9          1          4   30                       
     50540 10.03.1990        8.9          8          4   30                      
     50540 11.03.1990       15.0          5          4   30                       
     50540 12.03.1990       19.2          0          0   30                       
     50540 13.03.1990        1.0          0          0   30                      
     50540 14.03.1990        2.2          0          0   30                      
     50540 15.03.1990       11.5          0          0    3                      
     50540 16.03.1990       28.8          0          0    3                      
     50540 17.03.1990       51.9          0          0    3                      
     50540 18.03.1990        1.4          0          0    3                     
     50540 19.03.1990        9.7          0          0    3                     
     50540 20.03.1990       16.5          0          0   30                       
     50540 21.03.1990       26.9          0          0    3                      
     50540 22.03.1990       13.7          0          0    3                      
     50540 23.03.1990        9.5          0          0   30                      
     50540 24.03.1990       41.3          0          0    3                      
     50540 25.03.1990       13.7          0          0   30                       
     50540 26.03.1990        2.0          0          0   30                      
     50540 27.03.1990          .          0          0    -                   
     50540 28.03.1990        1.6          0          0    3                     
     50540 29.03.1990       13.4          0          0    3                      
     50540 30.03.1990       31.6          0          0    3                      
     50540 31.03.1990        2.5          0          0    3                     
     50540 01.04.1990       11.8          0          0    3                      
     50540 02.04.1990       15.1          0          0    3                      
     50540 03.04.1990       24.1          0          0    3                      
     50540 04.04.1990        5.1          0          0   30                      
     50540 05.04.1990        9.5         10          4   30                       
     50540 06.04.1990       17.7          0          1   30                       
     50540 07.04.1990        0.6          0          4    2                     
     50540 08.04.1990        0.5          0          0    2                     
     50540 09.04.1990        5.1          0          0    3                     
     50540 10.04.1990       12.8          0          0    3                      
     50540 11.04.1990       17.4          0          0    3                      
     50540 12.04.1990        2.6          0          0    3                     
     50540 13.04.1990        6.7          0          0    3                     
     50540 14.04.1990        6.5          0          0    3                     
     50540 15.04.1990       18.0          0          0   30                       
     50540 16.04.1990       15.9          0          0    3                      
     50540 17.04.1990       11.9          0          0   30                       
     50540 18.04.1990        5.4          0          0   30                      
     50540 19.04.1990       18.8          0          0   30                       
     50540 20.04.1990        0.0          0          0    3                     
     50540 21.04.1990        0.2          0          0    3                     
     50540 22.04.1990          .          0          0    -                   
     50540 23.04.1990        0.0          0          0    3                     
     50540 24.04.1990          .          0          0    -                   
     50540 25.04.1990          .          0          0    -                   
     50540 26.04.1990       22.3          0          0    3                      
     50540 27.04.1990        8.4          0          0   30                      
     50540 28.04.1990        1.1          0          0   30                      
     50540 29.04.1990       35.7          0          0    3                      
     50540 30.04.1990       22.2          0          0    3                      
     50540 01.05.1990        7.2          0          0    3                     
     50540 02.05.1990          .          0          0    -                   
     50540 03.05.1990          .          0          0    -                   
     50540 04.05.1990          .          0          0    -                   
     50540 05.05.1990          .          0          0    -                   
     50540 06.05.1990        0.1          0          0    3                     
     50540 07.05.1990          .          0          0    -                   
     50540 08.05.1990          .          0          0    -                   
     50540 09.05.1990        0.2          0          0    3                     
     50540 10.05.1990        0.0          0          0    3                     
     50540 11.05.1990        0.0          0          0    3                     
     50540 12.05.1990          .          0          0    -                   
     50540 13.05.1990          .          0          0    -                   
     50540 14.05.1990          .          0          0    -                   
     50540 15.05.1990          .          0          0    -                   
     50540 16.05.1990          .          0          0    -                   
     50540 17.05.1990        0.8          0          0    3                     
     50540 18.05.1990          .          0          0    -                   
     50540 19.05.1990          .          0          0    -                   
     50540 20.05.1990          .          0          0    -                   
     50540 21.05.1990        0.8          0          0    3                     
     50540 22.05.1990        0.2          0          0    3                     
     50540 23.05.1990        1.3          0          0    3                     
     50540 24.05.1990        9.7          0          0    3                     
     50540 25.05.1990          .          0          0    -                   
     50540 26.05.1990        3.8          0          0   30                      
     50540 27.05.1990        0.1          0          0    3                     
     50540 28.05.1990          .          0          0    -                   
     50540 29.05.1990          .          0          0    -                   
     50540 30.05.1990          .          0          0    -                   
     50540 31.05.1990       12.3          0          0    3                      
     50540 01.06.1990        0.1          0          0    3                     
     50540 02.06.1990        3.4          0          0    3                     
     50540 03.06.1990        1.5          0          0    3                     
     50540 04.06.1990        4.6          0          0    3                     
     50540 05.06.1990        0.8          0          0    3                     
     50540 06.06.1990          .          0          0    -                   
     50540 07.06.1990          .          0          0    -                   
     50540 08.06.1990        2.8          0          0    3                     
     50540 09.06.1990          .          0          0    -                   
