Flyplass,ICAO,IATA,airline,flight_id,dom_int,schedule_time,arr_dep,airport,via_airport,gate,code,time,uniqueID,delayed,check_in,delayed_minutes
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4144,D,2020-01-13T05:40:00Z,D,TRD,AES,B16,D,2020-01-13T05:40:00Z,9046574,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF583,D,2020-01-13T05:40:00Z,D,KRS,NA,D32,D,2020-01-13T05:33:00Z,9047161,1,NA,-7
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF102,D,2020-01-13T05:40:00Z,D,FDE,FRO,B14,D,2020-01-13T05:36:00Z,9046881,1,NA,-4
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4137,D,2020-01-13T05:45:00Z,D,SVG,NA,B20,D,2020-01-13T05:47:00Z,9046564,1,NA,2
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF622,D,2020-01-13T05:55:00Z,D,TOS,NA,B13,D,2020-01-13T05:57:00Z,9047195,1,NA,2
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY607,D,2020-01-13T06:00:00Z,D,OSL,NA,B19,D,2020-01-13T05:51:00Z,9046083,1,NA,-9
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK246,D,2020-01-13T06:00:00Z,D,OSL,NA,B17,D,2020-01-13T05:49:00Z,9046383,1,NA,-11
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4139,D,2020-01-13T06:20:00Z,D,SVG,NA,B15,D,2020-01-13T06:10:00Z,8975241,1,NA,-10
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK248,D,2020-01-13T06:25:00Z,D,OSL,NA,B16,D,2020-01-13T06:16:00Z,9046388,1,NA,-9
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF392,I,2020-01-13T06:25:00Z,D,ABZ,NA,F23,D,2020-01-13T06:22:00Z,9047043,1,NA,-3
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY609,D,2020-01-13T06:30:00Z,D,OSL,NA,B18,D,2020-01-13T06:18:00Z,9046085,1,NA,-12
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF144,D,2020-01-13T06:50:00Z,D,HOV,SOG,B19,D,2020-01-13T06:48:00Z,9046937,1,NA,-2
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4154,D,2020-01-13T07:05:00Z,D,TRD,NA,B16,D,2020-01-13T06:58:00Z,9046588,1,NA,-7
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY1314,I,2020-01-13T07:15:00Z,D,LGW,NA,F24,D,2020-01-13T06:56:00Z,9045855,1,NA,-19
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK252,D,2020-01-13T07:20:00Z,D,OSL,NA,B17,D,2020-01-13T07:47:00Z,9046394,1,NA,27
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY104,D,2020-01-13T08:00:00Z,D,EVE,NA,B18,D,2020-01-13T07:49:00Z,9045823,1,NA,-11
"Bergen lufthavn, Flesland",ENBR,BGO,KL,KL1188,S,2020-01-13T08:00:00Z,D,AMS,NA,E28,D,2020-01-13T07:55:00Z,9046212,1,NA,-5
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK2865,S,2020-01-13T08:10:00Z,D,CPH,NA,E26,D,2020-01-13T08:07:00Z,9046422,1,NA,-3
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK260,D,2020-01-13T08:35:00Z,D,OSL,NA,B17,D,2020-01-13T08:45:00Z,9046398,1,NA,10
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK898,S,2020-01-13T08:40:00Z,D,ARN,NA,E29,D,2020-01-13T08:34:00Z,8975245,1,NA,-6
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF104,D,2020-01-13T08:50:00Z,D,FRO,NA,B20,D,2020-01-13T08:48:00Z,9046889,1,NA,-2
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY1344,I,2020-01-13T08:50:00Z,D,MAN,NA,F24,D,2020-01-13T08:28:00Z,9045863,1,NA,-22
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF282,S,2020-01-13T08:50:00Z,D,BLL,NA,E31,D,2020-01-13T08:47:00Z,9047021,1,NA,-3
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF568,D,2020-01-13T08:55:00Z,D,KSU,NA,B19,D,2020-01-13T08:58:00Z,9077636,1,NA,3
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF543,D,2020-01-13T09:05:00Z,D,SVG,NA,B15,D,2020-01-13T09:18:00Z,9047125,1,NA,13
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF587,D,2020-01-13T09:50:00Z,D,KRS,NA,B18,D,2020-01-13T09:49:00Z,9047165,1,NA,-1
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF411,D,2020-01-13T09:50:00Z,D,TRF,NA,B16,D,2020-01-13T09:56:00Z,9047055,1,NA,6
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF218,S,2020-01-13T11:10:00Z,D,MUC,NA,E29,D,2020-01-13T11:09:00Z,9047013,1,NA,-1
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF106,D,2020-01-13T11:25:00Z,D,FRO,NA,B16,D,2020-01-13T11:18:00Z,9046893,1,NA,-7
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4159,D,2020-01-13T11:35:00Z,D,SVG,NA,B17,D,2020-01-13T11:36:00Z,9046590,1,NA,1
"Bergen lufthavn, Flesland",ENBR,BGO,KL,KL1186,S,2020-01-13T12:10:00Z,D,AMS,NA,E28,D,2020-01-13T12:04:00Z,9046210,1,NA,-6
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF570,D,2020-01-13T12:10:00Z,D,KSU,NA,B19,D,2020-01-13T12:07:00Z,9047151,1,NA,-3
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF589,D,2020-01-13T12:30:00Z,D,KRS,NA,D31,D,2020-01-13T12:30:00Z,9047169,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF415,D,2020-01-13T12:30:00Z,D,TRF,NA,B17,D,2020-01-13T12:25:00Z,9077634,1,NA,-5
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF626,D,2020-01-13T12:35:00Z,D,TOS,NA,D32,D,2020-01-13T12:33:00Z,9047199,1,NA,-2
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF505,D,2020-01-13T12:35:00Z,D,HAU,NA,B15,D,2020-01-13T12:44:00Z,9047107,1,NA,9
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY1830,S,2020-01-13T12:50:00Z,D,ALC,NA,E25,D,2020-01-13T12:44:00Z,9045909,1,NA,-6
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK272,D,2020-01-13T12:55:00Z,D,OSL,NA,B16,D,2020-01-13T12:59:00Z,9046406,1,NA,4
"Bergen lufthavn, Flesland",ENBR,BGO,DY,DY625,D,2020-01-13T13:00:00Z,D,OSL,NA,B18,D,2020-01-13T12:52:00Z,9046095,1,NA,-8
"Bergen lufthavn, Flesland",ENBR,BGO,WF,WF545,D,2020-01-13T13:35:00Z,D,SVG,NA,C35,D,2020-01-13T13:35:00Z,9047129,1,NA,0
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4172,D,2020-01-13T13:40:00Z,D,TRD,NA,B17,D,2020-01-13T13:47:00Z,9046602,1,NA,7
"Bergen lufthavn, Flesland",ENBR,BGO,SK,SK4163,D,2020-01-13T13:50:00Z,D,SVG,NA,B18,D,2020-01-13T13:48:00Z,9046594,1,NA,-2
